Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Chance Precipitation (%),Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Pilani, Rajasthan, India",11/27/2021,80.5,67.7,71.9,,79,0,0,0,0,8.3,92.8,16.3,15,0,37.2,Clear
"Pilani, Rajasthan, India",11/28/2021,80.7,63.1,71,,79.2,0,0,0,0,7.4,85.8,12.5,15,3.6,37.9,Clear
"Pilani, Rajasthan, India",11/29/2021,79.4,62,69.8,,,0,0,0,0,5.4,189.8,10.1,15,19.8,26.6,Clear
"Pilani, Rajasthan, India",11/30/2021,78,61.4,68.6,,,0,0,0,0,5.1,291.1,8.5,15,98.2,22.4,Overcast
"Pilani, Rajasthan, India",12/01/2021,74.6,61.8,67.7,,,0,0,0,0,4.1,72.1,6.9,15,100,22.6,Overcast
"Pilani, Rajasthan, India",12/02/2021,76.7,62.9,68.7,,,9.5,0,0,0,3.8,125.5,5.6,15,80.8,23,Overcast
"Pilani, Rajasthan, India",12/03/2021,78.3,59.8,68,,,0,0,0,0,3.4,167.8,6.5,15,3.1,22.3,Clear
"Pilani, Rajasthan, India",12/04/2021,78.7,59.4,67.8,,,0,0,0,0,4.7,285.8,6.7,15,0,18.6,Clear
"Pilani, Rajasthan, India",12/05/2021,78.3,59.3,67.7,,,9.5,0,0,0,4,228.2,6,15,0,16.8,Clear
"Pilani, Rajasthan, India",12/06/2021,78.2,58.6,67.4,,,19,0,0,0,5.2,216,7.8,15,13.4,18.6,Clear
"Pilani, Rajasthan, India",12/07/2021,77.4,57.3,66.6,,,9.5,0,0,0,4.9,311.3,7.4,15,0,20.8,Clear
"Pilani, Rajasthan, India",12/08/2021,77.1,57.6,66.4,,,0,0,0,0,4.4,146.9,7.2,15,0,19.4,Clear
"Pilani, Rajasthan, India",12/09/2021,76.2,56.6,65.3,,,0,0,0,0,4.5,217.6,7.4,15,0.1,19.9,Clear
"Pilani, Rajasthan, India",12/10/2021,74.4,54.1,63.4,,,0,0,0,0,5.3,242.3,7.6,15,1.1,19.1,Clear
"Pilani, Rajasthan, India",12/11/2021,73.3,54.2,62.3,,,0,0,0,0,5.5,314.8,8.1,15,0.2,18.5,Clear
"Pilani, Rajasthan, India",12/12/2021,72.8,52.6,61.9,,,0,0,0,0,3.3,268.6,6.7,15,63.1,16.4,Partially cloudy
